,Company Name,Size,Sector:,Location
0,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
1,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
2,Working at Roc Search Limited,100–249 employees,Recruitment Consultancy,
3,Working at NonStop Consulting Ltd,100–249 employees,Recruitment Consultancy,
4,Working at Harnham,100–249 employees,Recruitment Consultancy,
5,Working at Lloyd Recruitment Services Ltd,10–19 employees,Recruitment Consultancy,"East Grinstead, United Kingdom"
6,Working at NonStop Consulting Ltd,100–249 employees,Recruitment Consultancy,
7,Working at Proactive Appointments,20–49 employees,Recruitment Consultancy,
8,Working at MRJ Recruitment,5–9 employees,IT & Telecoms,"Manchester, United Kingdom"
9,Working at Morgan Hunt UK Limited,100–249 employees,Recruitment Consultancy,"London, United Kingdom"
10,Working at Your Prime Recruitment,1–4 employees,Sales,"Manchester, United Kingdom"
11,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
12,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
13,Working at Your Prime Recruitment,1–4 employees,Sales,"Manchester, United Kingdom"
14,Working at The Language Business,1–4 employees,Recruitment Consultancy,
15,Working at Proactive Appointments,20–49 employees,Recruitment Consultancy,
16,Working at Your Prime Recruitment,1–4 employees,Sales,"Manchester, United Kingdom"
17,Working at Surrey County Council,"5,000+ employees",Public Sector,"Reigate, United Kingdom"
18,Working at Your Prime Recruitment,1–4 employees,Sales,"Manchester, United Kingdom"
19,Working at The Language Business,1–4 employees,Recruitment Consultancy,
20,Working at Your Prime Recruitment,1–4 employees,Sales,"Manchester, United Kingdom"
21,Working at Sopra Steria,"5,000+ employees",IT & Telecoms,"Hemel Hempstead, United Kingdom"
22,Working at Opinion Groups,100–249 employees,Marketing & PR,
23,Working at REED Marketing & Creative,"2,500–4,999 employees",Marketing & PR,
24,Working at REED Marketing & Creative,"2,500–4,999 employees",Marketing & PR,
25,Working at REED Marketing & Creative,"2,500–4,999 employees",Marketing & PR,
26,Working at Opinion Groups,100–249 employees,Marketing & PR,
27,Working at Opinion Groups,100–249 employees,Marketing & PR,
28,Working at Opinion Groups,100–249 employees,Marketing & PR,
29,Working at Opinion Groups,100–249 employees,Marketing & PR,
30,Working at Opinion Groups,100–249 employees,Marketing & PR,
31,Working at Opinion Groups,100–249 employees,Marketing & PR,
32,Working at Opinion Groups,100–249 employees,Marketing & PR,
33,Working at Opinion Groups,100–249 employees,Marketing & PR,
34,Working at Opinion Groups,100–249 employees,Marketing & PR,
35,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
36,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
37,Working at Opinion Groups,100–249 employees,Marketing & PR,
38,Working at Opinion Groups,100–249 employees,Marketing & PR,
39,Working at Opinion Groups,100–249 employees,Marketing & PR,
40,Working at Opinion Groups,100–249 employees,Marketing & PR,
41,Working at Opinion Groups,100–249 employees,Marketing & PR,
42,Working at Opinion Groups,100–249 employees,Marketing & PR,
43,Working at Opinion Groups,100–249 employees,Marketing & PR,
44,Working at Opinion Groups,100–249 employees,Marketing & PR,
45,Working at Opinion Groups,100–249 employees,Marketing & PR,
46,Working at Opinion Groups,100–249 employees,Marketing & PR,
47,Working at Opinion Groups,100–249 employees,Marketing & PR,
48,Working at Opinion Groups,100–249 employees,Marketing & PR,
49,Working at Opinion Groups,100–249 employees,Marketing & PR,
50,Working at Opinion Groups,100–249 employees,Marketing & PR,
51,Working at Opinion Groups,100–249 employees,Marketing & PR,
52,Working at Opinion Groups,100–249 employees,Marketing & PR,
53,Working at Opinion Groups,100–249 employees,Marketing & PR,
54,Working at Opinion Groups,100–249 employees,Marketing & PR,
55,Working at Opinion Groups,100–249 employees,Marketing & PR,
56,Working at Opinion Groups,100–249 employees,Marketing & PR,
57,Working at Opinion Groups,100–249 employees,Marketing & PR,
58,Working at Opinion Groups,100–249 employees,Marketing & PR,
59,Working at Opinion Groups,100–249 employees,Marketing & PR,
60,Working at Opinion Groups,100–249 employees,Marketing & PR,
61,Working at Opinion Groups,100–249 employees,Marketing & PR,
62,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
63,Working at Onebright Ltd,500–999 employees,Health & Medicine,"York, United Kingdom"
64,Working at Opinion Groups,100–249 employees,Marketing & PR,
65,Working at Opinion Groups,100–249 employees,Marketing & PR,
66,Working at Opinion Groups,100–249 employees,Marketing & PR,
67,Working at Opinion Groups,100–249 employees,Marketing & PR,
68,Working at Opinion Groups,100–249 employees,Marketing & PR,
69,Working at Opinion Groups,100–249 employees,Marketing & PR,
70,Working at Opinion Groups,100–249 employees,Marketing & PR,
71,Working at Opinion Groups,100–249 employees,Marketing & PR,
72,Working at Opinion Groups,100–249 employees,Marketing & PR,
73,Working at Opinion Groups,100–249 employees,Marketing & PR,
74,Working at Opinion Groups,100–249 employees,Marketing & PR,
75,Working at Opinion Groups,100–249 employees,Marketing & PR,
76,Working at Opinion Groups,100–249 employees,Marketing & PR,
77,Working at Opinion Groups,100–249 employees,Marketing & PR,
78,Working at Opinion Groups,100–249 employees,Marketing & PR,
79,Working at Opinion Groups,100–249 employees,Marketing & PR,
80,Working at Opinion Groups,100–249 employees,Marketing & PR,
81,Working at Opinion Groups,100–249 employees,Marketing & PR,
82,Working at Opinion Groups,100–249 employees,Marketing & PR,
83,Working at Opinion Groups,100–249 employees,Marketing & PR,
84,Working at Opinion Groups,100–249 employees,Marketing & PR,
85,Working at Opinion Groups,100–249 employees,Marketing & PR,
86,Working at Opinion Groups,100–249 employees,Marketing & PR,
87,Working at Opinion Groups,100–249 employees,Marketing & PR,
88,Working at Footasylum,"2,500–4,999 employees",Retail,"Rochdale, United Kingdom"
89,Working at Alcumus,500–999 employees,IT & Telecoms,"Cardiff, United Kingdom"
